country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Poland (Non-national sample),0.4835280859116916,0.7375,80,59,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Burkina Faso,0.4680443245271165,0.7307692307692307,624,456,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Honduras (Non-national sample),0.44908009689889017,0.6892523364485982,856,590,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Guatemala (Non-national sample),0.4448636456040084,0.6600467289719626,856,565,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Ivory Coast (Non-national sample),0.44439716714997113,0.6625,1440,954,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Uganda,0.431852568237559,0.6484868639840372,3007,1950,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Senegal (Non-national sample),0.43110575918340943,0.6324324324324324,1480,936,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
El Salvador,0.4286842954552287,0.6482712765957447,1504,975,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Britain,0.4285076980163522,0.6765777583442647,6861,4642,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Brazil (Non-national sample),0.4255991110127184,0.6158696794534945,1903,1172,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Mali (Non-national sample),0.42469210996961115,0.6583333333333333,960,632,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Senegal,0.4246545003155457,0.6083916083916084,2431,1479,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
Ghana,0.42284173939391667,0.6476761619190404,3335,2160,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756641074
