country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Poland (Non-national sample),0.4123810721135989,0.6590909090909091,44,29,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Burkina Faso,0.3928905326826226,0.5552631578947368,380,211,unsloth/Qwen2.5-0.5B-Instruct,1756634062
India (Old national sample),0.38787448117233186,0.6053097345132743,565,342,unsloth/Qwen2.5-0.5B-Instruct,1756634062
China (Non-national sample),0.3806450689110645,0.6156351791530945,1535,945,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Ivory Coast (Non-national sample),0.3725660687658009,0.565864833906071,873,494,unsloth/Qwen2.5-0.5B-Instruct,1756634062
India (Non-national sample),0.3723093797168421,0.6120527306967984,1593,975,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Honduras (Non-national sample),0.36919237254274073,0.5593869731800766,522,292,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Nigeria (Non-national sample),0.36555311979723454,0.5687418936446174,1542,877,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Britain,0.36386873698095307,0.5750122970978849,4066,2338,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Vietnam (Non-national sample),0.3622660364694395,0.5609137055837563,394,221,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Mali,0.3587100545302479,0.5063091482649842,634,321,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Bolivia (Non-national sample),0.3572474147012094,0.5881627620221949,811,477,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Russia (Non-national sample),0.3569184738658698,0.5405405405405406,111,60,unsloth/Qwen2.5-0.5B-Instruct,1756634062
S. Africa (Non-national sample),0.35496504265158757,0.5570934256055363,578,322,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Mali (Non-national sample),0.3549423760836071,0.5716723549488054,586,335,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Venezuela (Non-national sample),0.353504739214547,0.5416666666666666,816,442,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Uzbekistan,0.353352576026502,0.5486577181208053,596,327,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Uganda,0.35325055600832267,0.5024630541871922,1827,918,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Ghana,0.35135470535643987,0.5285433070866141,2032,1074,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Guatemala (Non-national sample),0.35087775336444177,0.5038314176245211,522,263,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Senegal (Non-national sample),0.35017290950974067,0.5178173719376392,898,465,unsloth/Qwen2.5-0.5B-Instruct,1756634062
France,0.34916949219953924,0.5324647586501495,4682,2493,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Angola (Non-national sample),0.348920271329979,0.5191570881226054,522,271,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Germany,0.3488713154176206,0.535437430786268,5418,2901,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Czech Rep.,0.3486247930806548,0.5377245508982036,1670,898,unsloth/Qwen2.5-0.5B-Instruct,1756634062
S. Korea,0.3457032974960961,0.5530220774520449,2763,1528,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Senegal,0.3456762240299076,0.47548690396239085,1489,708,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Tanzania,0.3440158665749178,0.5171046108081309,2017,1043,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Bangladesh (Non-national sample),0.34340835477663234,0.5207852193995381,866,451,unsloth/Qwen2.5-0.5B-Instruct,1756634062
United States,0.34025521358624666,0.5425330812854442,5290,2870,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Morocco (Non-national sample),0.34016690827780394,0.45098039215686275,561,253,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Spain,0.33996359070723275,0.4937679769894535,4172,2060,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Brazil (Non-national sample),0.33741017020873304,0.48869565217391303,1150,562,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Ethiopia (Non-national sample),0.33654402496200403,0.4888888888888889,630,308,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Indonesia (Non-national sample),0.3351407342197658,0.5014044943820225,712,357,unsloth/Qwen2.5-0.5B-Instruct,1756634062
Israel,0.33391188468610405,0.5438437074057246,2201,1197,unsloth/Qwen2.5-0.5B-Instruct,1756634062
