country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Ivory Coast (Non-national sample),0.4814299218719993,0.7155555555555555,900,644,unsloth/Qwen2.5-7B-Instruct,1756634117
Burkina Faso,0.4626815428352928,0.7307692307692307,390,285,unsloth/Qwen2.5-7B-Instruct,1756634117
Guatemala (Non-national sample),0.46126494671906926,0.680373831775701,535,364,unsloth/Qwen2.5-7B-Instruct,1756634117
Vietnam (Non-national sample),0.46018416759370323,0.6444444444444445,405,261,unsloth/Qwen2.5-7B-Instruct,1756634117
Senegal (Non-national sample),0.45777333899604705,0.6854054054054054,925,634,unsloth/Qwen2.5-7B-Instruct,1756634117
Honduras (Non-national sample),0.4549631644289927,0.6915887850467289,535,370,unsloth/Qwen2.5-7B-Instruct,1756634117
Czech Rep.,0.45479724288342244,0.7373913043478261,1725,1272,unsloth/Qwen2.5-7B-Instruct,1756634117
Mali (Non-national sample),0.4530328683434737,0.7333333333333333,600,440,unsloth/Qwen2.5-7B-Instruct,1756634117
Germany,0.4530027209956205,0.6963304378656267,5641,3928,unsloth/Qwen2.5-7B-Instruct,1756634117
Britain,0.4524214980470605,0.7386124737210932,4281,3162,unsloth/Qwen2.5-7B-Instruct,1756634117
Uzbekistan,0.44719659062662764,0.7180327868852459,610,438,unsloth/Qwen2.5-7B-Instruct,1756634117
Uganda,0.44634644563974013,0.673936170212766,1880,1267,unsloth/Qwen2.5-7B-Instruct,1756634117
Bangladesh (Non-national sample),0.44501945315375335,0.6893854748603352,895,617,unsloth/Qwen2.5-7B-Instruct,1756634117
Canada,0.4441318948721119,0.7222514466070489,3802,2746,unsloth/Qwen2.5-7B-Instruct,1756634117
Brazil (Non-national sample),0.4437745715094821,0.6377422072451558,1187,757,unsloth/Qwen2.5-7B-Instruct,1756634117
El Salvador,0.44331026359886605,0.6819148936170213,940,641,unsloth/Qwen2.5-7B-Instruct,1756634117
France,0.44248768109897646,0.6980208120791676,4901,3421,unsloth/Qwen2.5-7B-Instruct,1756634117
India (Non-national sample),0.43985884685931864,0.6941315945465323,1687,1171,unsloth/Qwen2.5-7B-Instruct,1756634117
Iceland,0.4392313043478255,0.6834782608695652,575,393,unsloth/Qwen2.5-7B-Instruct,1756634117
Spain,0.438026117537148,0.6734223859972363,4342,2924,unsloth/Qwen2.5-7B-Instruct,1756634117
Angola (Non-national sample),0.4380149261078691,0.7009345794392523,535,375,unsloth/Qwen2.5-7B-Instruct,1756634117
United States,0.4362233565221989,0.7281800036291054,5511,4013,unsloth/Qwen2.5-7B-Instruct,1756634117
Venezuela (Non-national sample),0.43321395228793186,0.6845238095238095,840,575,unsloth/Qwen2.5-7B-Instruct,1756634117
Tanzania,0.43301851253631934,0.6853012048192771,2075,1422,unsloth/Qwen2.5-7B-Instruct,1756634117
Bolivia (Non-national sample),0.431460820890864,0.6994011976047905,835,584,unsloth/Qwen2.5-7B-Instruct,1756634117
Sweden,0.43138742839898647,0.6466926070038911,2570,1662,unsloth/Qwen2.5-7B-Instruct,1756634117
S. Africa (Non-national sample),0.43104447313885835,0.6915254237288135,590,408,unsloth/Qwen2.5-7B-Instruct,1756634117
Ghana,0.4301058260268919,0.6719424460431654,2085,1401,unsloth/Qwen2.5-7B-Instruct,1756634117
India (Old national sample),0.42946645642442866,0.6902800658978583,607,419,unsloth/Qwen2.5-7B-Instruct,1756634117
Kuwait,0.4281008562871294,0.6027586206896551,725,437,unsloth/Qwen2.5-7B-Instruct,1756634117
Mali,0.4276386397228451,0.6615384615384615,650,430,unsloth/Qwen2.5-7B-Instruct,1756634117
Senegal,0.4269374931106573,0.6269736842105263,1520,953,unsloth/Qwen2.5-7B-Instruct,1756634117
Nigeria (Non-national sample),0.42622759070827587,0.6518020769700672,1637,1067,unsloth/Qwen2.5-7B-Instruct,1756634117
China (Non-national sample),0.4252002906969248,0.6716958358479179,1657,1113,unsloth/Qwen2.5-7B-Instruct,1756634117
S. Korea,0.4228517681878582,0.6697215368346845,2837,1900,unsloth/Qwen2.5-7B-Instruct,1756634117
Philippines,0.41981788972494455,0.6899696048632219,3290,2270,unsloth/Qwen2.5-7B-Instruct,1756634117
Ethiopia (Non-national sample),0.41919369807797996,0.6387596899224807,645,412,unsloth/Qwen2.5-7B-Instruct,1756634117
Netherlands,0.4189641620443641,0.6598290598290598,2925,1930,unsloth/Qwen2.5-7B-Instruct,1756634117
Japan,0.41864887825001523,0.6540795684423466,4449,2910,unsloth/Qwen2.5-7B-Instruct,1756634117
Brazil,0.4179419267294548,0.6230611647644132,3417,2129,unsloth/Qwen2.5-7B-Instruct,1756634117
