country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Poland (Non-national sample),0.5014357294929703,0.8,50,40,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Burkina Faso,0.4543835852966516,0.7051282051282052,390,275,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Ivory Coast (Non-national sample),0.4460486278087299,0.6511111111111111,900,586,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Honduras (Non-national sample),0.43967901522837477,0.6747663551401869,535,361,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Senegal (Non-national sample),0.43470341198873624,0.6367567567567568,925,589,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Uganda,0.43270736732267234,0.6530069185737094,1879,1227,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Guatemala (Non-national sample),0.4308835399062012,0.616822429906542,535,330,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Britain,0.427132009131145,0.6738167404989508,4289,2890,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
El Salvador,0.4271112767260387,0.6400425985090522,939,601,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Senegal,0.42497610950186004,0.6129032258064516,1519,931,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Brazil (Non-national sample),0.4243341537162579,0.6109243697478992,1190,727,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Ghana,0.4220256206112765,0.6434740882917467,2084,1341,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
India (Non-national sample),0.4211207039815753,0.6484098939929329,1698,1101,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Bangladesh (Non-national sample),0.42038405771545,0.6256983240223464,895,560,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Mali (Non-national sample),0.4189781664658445,0.6533333333333333,600,392,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Tanzania,0.4179161182126025,0.6419277108433735,2075,1332,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Germany,0.4170719851228168,0.6188705965657638,5649,3496,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Czech Rep.,0.4143645896746273,0.648695652173913,1725,1119,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Venezuela (Non-national sample),0.41423827473357,0.6333333333333333,840,532,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
France,0.41410221167771327,0.6312894683234874,4909,3099,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Angola (Non-national sample),0.41378607981396265,0.6710280373831776,535,359,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Nigeria (Non-national sample),0.41303837991837355,0.6207317073170732,1640,1018,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Spain,0.41225423189518323,0.617383306507243,4349,2685,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Mali,0.4107498221474322,0.6184615384615385,650,402,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Vietnam (Non-national sample),0.410687933941856,0.5802469135802469,405,235,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
United States,0.407142694754763,0.6561594202898551,5520,3622,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Kuwait,0.4067047652075237,0.5668965517241379,725,411,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Ethiopia (Non-national sample),0.40653751760130447,0.6139534883720931,645,396,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
S. Africa (Non-national sample),0.40523668909092847,0.6322033898305085,590,373,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Bolivia (Non-national sample),0.4052360109180446,0.6431137724550898,835,537,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Uzbekistan,0.40409890665395526,0.6229508196721312,610,380,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
India (Old national sample),0.40150041667869174,0.6278688524590164,610,383,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
China (Non-national sample),0.3943709102070668,0.5903614457831325,1660,980,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Canada,0.3916291019537075,0.6119716461013389,3809,2331,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Brazil,0.39063202954877474,0.5550029256875366,3418,1897,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Argentina,0.38980391947810406,0.5393198724760893,3764,2030,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Israel,0.3861320368695576,0.6030769230769231,2275,1372,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Chile,0.38611323519437485,0.5596160944998154,2709,1516,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Japan,0.3858993754584616,0.573063973063973,4455,2553,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
S. Korea,0.38391600638416623,0.5795774647887324,2840,1646,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Palest. ter.,0.38193290133423324,0.5604060913705584,1970,1104,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Poland,0.38068286750447855,0.5753613214039918,4359,2508,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Italy,0.38043913826434606,0.5759708737864078,4120,2373,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Lebanon,0.38034382361484687,0.5523874179678661,4419,2441,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Sweden,0.3796049266952352,0.5599221789883269,2570,1439,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Indonesia (Non-national sample),0.37838253717442805,0.5238095238095238,735,385,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
S. Africa,0.3773128302662991,0.5749811605124341,2654,1526,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Peru,0.3759096067489221,0.5365137614678899,2725,1462,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Venezuela,0.37431300005743395,0.5268552685526855,2439,1285,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Mexico,0.374025920498615,0.5466396943133288,4449,2432,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Kenya,0.3737694108062591,0.5711019661636946,4374,2498,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Morocco (Non-national sample),0.3734403483468686,0.49158249158249157,594,292,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
India (Current national sample),0.37093131976958144,0.5810983397190294,2349,1365,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Ukraine,0.37029172441772795,0.5503782148260212,3305,1819,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Bulgaria,0.3664459361198827,0.525,1920,1008,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
Iceland,0.3662504347826077,0.528695652173913,575,304,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed1,1756635836
