country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Vietnam (Non-national sample),0.4797325864856546,0.6666666666666666,648,432,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Ivory Coast (Non-national sample),0.4752035797565789,0.70625,1440,1017,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Senegal (Non-national sample),0.45042419043961335,0.6608108108108108,1480,978,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Uzbekistan,0.45040579642860024,0.7182377049180327,976,701,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Honduras (Non-national sample),0.45014150367406164,0.6880841121495327,856,589,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Mali (Non-national sample),0.44811259743968035,0.70625,960,678,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Guatemala (Non-national sample),0.44508262684918903,0.647196261682243,856,554,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Bangladesh (Non-national sample),0.4372152714515036,0.6738826815642458,1432,965,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Uganda,0.4360744146964553,0.6593479707252162,3006,1982,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
India (Non-national sample),0.4338693004049052,0.6767527675276753,2710,1834,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Angola (Non-national sample),0.43350490913446754,0.6845794392523364,856,586,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Nigeria (Non-national sample),0.43128061613605484,0.6648875333587495,2623,1744,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Kuwait,0.42819320433833413,0.6094827586206897,1160,707,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
El Salvador,0.42814461449901037,0.6438082556591211,1502,967,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Britain,0.4276041018067848,0.67858185001459,6854,4651,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Germany,0.424893628869557,0.6357293166463617,9029,5740,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Tanzania,0.4238024929371939,0.6654611211573237,3318,2208,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Czech Rep.,0.4228326284699371,0.6675126903553299,2758,1841,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Burkina Faso,0.42259160971363313,0.6602564102564102,624,412,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
India (Old national sample),0.42233163049981703,0.6862139917695473,972,667,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Venezuela (Non-national sample),0.41825460958717997,0.6473214285714286,1344,870,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Ghana,0.4174504263197163,0.6445710857828434,3334,2149,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Brazil (Non-national sample),0.4174470847589448,0.5922228060956385,1903,1127,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Senegal,0.4150520241710937,0.6061728395061728,2430,1473,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
United States,0.41447215763271655,0.6756572982774252,8824,5962,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
France,0.4142983466798498,0.6351006882487892,7846,4983,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Canada,0.41394232042562973,0.6543513957307061,6090,3985,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
Poland (Non-national sample),0.4130345043593885,0.6875,80,55,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756640955
