country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Poland (Non-national sample),0.39609812018404394,0.6764705882352942,68,46,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
India (Old national sample),0.3489459680121737,0.5276211950394588,887,468,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Morocco (Non-national sample),0.3485255817915494,0.456242707117853,857,391,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Burkina Faso,0.34297931772101165,0.4852459016393443,610,296,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
China (Non-national sample),0.34154427323508013,0.5252398831873175,2397,1259,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Nigeria (Non-national sample),0.3409956174914574,0.5086534402701561,2369,1205,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
India (Non-national sample),0.34041958811272294,0.5189822294022617,2476,1285,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Honduras (Non-national sample),0.33777163711007635,0.48759305210918114,806,393,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Ivory Coast (Non-national sample),0.33578427071489536,0.4781966001478197,1353,647,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Vietnam (Non-national sample),0.3351027748631416,0.4867109634551495,602,293,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Britain,0.33054661662561924,0.5048558897243107,6384,3223,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Guatemala (Non-national sample),0.33001857982191657,0.46153846153846156,806,372,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Bangladesh (Non-national sample),0.32911135986520995,0.4706755753526355,1347,634,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Kuwait,0.3286605803158168,0.44424131627056673,1094,486,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Venezuela (Non-national sample),0.32664562355160165,0.46703296703296704,1274,595,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Czech Rep.,0.3260989442300973,0.4898266767143934,2654,1300,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Mali,0.3247160650843114,0.46153846153846156,988,456,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
S. Africa (Non-national sample),0.3240264634173068,0.4611973392461197,902,416,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Senegal (Non-national sample),0.3235474910785316,0.4546109510086455,1388,631,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Egypt (Non-national sample),0.32291884140593197,0.5021008403361344,476,239,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Brazil (Non-national sample),0.3201805022022242,0.4564362001124227,1779,812,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Angola (Non-national sample),0.3198863117383808,0.45905707196029777,806,370,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Russia (Non-national sample),0.31982031989903165,0.4696132596685083,181,85,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Uganda,0.3192798977395105,0.4461431549687283,2878,1284,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Mali (Non-national sample),0.31802555727242726,0.49280177187153934,903,445,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Uzbekistan,0.31742093276280736,0.4602829162132753,919,423,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Ghana,0.3170201256451017,0.4597378277153558,3204,1473,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Bolivia (Non-national sample),0.3161247468945795,0.4913112164296998,1266,622,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Indonesia (Non-national sample),0.31576260212443713,0.45288197621225984,1093,495,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Tanzania,0.3106410120402005,0.4447939603648946,3179,1414,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Ethiopia (Non-national sample),0.3069495364362715,0.4271151885830785,981,419,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
France,0.30569721022244517,0.44628323385784047,7372,3290,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
Senegal,0.3056616138702493,0.40244932432432434,2368,953,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed2,1756701866
