country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Poland (Non-national sample),0.48455178880517247,0.75,80,60,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Guatemala (Non-national sample),0.44370920153234183,0.6502923976608187,855,556,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Honduras (Non-national sample),0.4430725951233514,0.664327485380117,855,568,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Burkina Faso,0.44169998205345457,0.6853932584269663,623,427,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Ivory Coast (Non-national sample),0.43800702642051165,0.6356050069541029,1438,914,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Senegal (Non-national sample),0.4252392082476067,0.6244925575101489,1478,923,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Mali (Non-national sample),0.4231149618427991,0.6506777893639207,959,624,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Venezuela (Non-national sample),0.4196246706353728,0.6482861400894188,1342,870,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Brazil (Non-national sample),0.41888488899587123,0.6010526315789474,1900,1142,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Angola (Non-national sample),0.41738684636053236,0.6771929824561403,855,579,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
El Salvador,0.4172701421261762,0.6324900133155792,1502,950,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Uganda,0.4163864820378295,0.6259160559626915,3002,1879,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Britain,0.40998764779924696,0.6460977388767323,6855,4429,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Ghana,0.4094070087401178,0.6216216216216216,3330,2070,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
India (Non-national sample),0.408330148112782,0.630667158127534,2713,1711,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Bolivia (Non-national sample),0.407328665276769,0.651424287856072,1334,869,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Senegal,0.40714058033025124,0.5817882159044088,2427,1412,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Bangladesh (Non-national sample),0.4063283026515279,0.5986013986013986,1430,856,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Kuwait,0.40565983201206746,0.5526770293609672,1158,640,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Vietnam (Non-national sample),0.40557506834256596,0.5795981452859351,647,375,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Czech Rep.,0.40236431998752364,0.6232304900181488,2755,1717,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Germany,0.4014749257473712,0.5884176724615214,9031,5314,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Tanzania,0.4007932611804449,0.6145958986731002,3316,2038,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Uzbekistan,0.4003323591258896,0.6143589743589744,975,599,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Nigeria (Non-national sample),0.3991871716527544,0.6026717557251908,2620,1579,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
France,0.398822395760769,0.6023958200586211,7847,4727,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Ethiopia (Non-national sample),0.3981240773196768,0.5951456310679611,1030,613,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
United States,0.3953529467346639,0.6365284387038296,8826,5618,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Mali,0.39509760962853463,0.5982658959537572,1038,621,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Spain,0.39482864325085376,0.5876006904487917,6952,4085,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
S. Africa (Non-national sample),0.3941226648403006,0.60828025477707,942,573,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
India (Old national sample),0.3860259826467361,0.6143589743589744,975,599,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Brazil,0.3849354366506967,0.5444403803950256,5468,2977,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Argentina,0.3845981750648186,0.5378095396376932,6017,3236,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
China (Non-national sample),0.38334969317248035,0.582579185520362,2652,1545,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Palest. ter.,0.38019203134258345,0.5548141086749285,3147,1746,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Indonesia (Non-national sample),0.3786983872967276,0.531063829787234,1175,624,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Chile,0.3782605170631541,0.5556581986143188,4330,2406,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Japan,0.37737684498297136,0.5607358517062211,7121,3993,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Lebanon,0.3736212172661963,0.5416961631034971,7063,3826,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Peru,0.37353834839892797,0.5351239669421488,4356,2331,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Canada,0.37214840448521486,0.576613565445886,6089,3511,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
S. Korea,0.3714673032099964,0.564690324002645,4537,2562,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Russia (Non-national sample),0.36980908750397995,0.5778894472361809,199,115,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Poland,0.36969151642556813,0.5566877152698049,6968,3879,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Italy,0.36929741994953036,0.554290053151101,6585,3650,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Venezuela,0.36756247743581355,0.5215384615384615,3900,2034,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Israel,0.36601259623366594,0.5693450742982938,3634,2069,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Mexico,0.3646643716211231,0.5364824968367777,7113,3816,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Ukraine,0.36443899291006304,0.537660862982589,5284,2841,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
S. Africa,0.3633995837920962,0.5447901933050447,4242,2311,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Bulgaria,0.36223364466886265,0.5184099055066796,3069,1591,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
India (Current national sample),0.36198340322388234,0.5608198030343359,3757,2107,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Egypt (Non-national sample),0.3619512174073884,0.5992292870905588,519,311,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Turkey,0.36172672971440106,0.5117096018735363,7686,3933,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Morocco (Non-national sample),0.3599020619310925,0.4747368421052632,950,451,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Kenya,0.35960262339386767,0.5437643020594966,6992,3802,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Russia,0.3512848306028558,0.5187374245472837,7952,4125,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Sweden,0.3484254165205819,0.505475784862497,4109,2077,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Pakistan,0.34782551144344304,0.4821377941593422,7054,3401,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Philippines,0.34749270419978395,0.5372765310003804,5258,2825,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Nigeria,0.34686565359454685,0.505767214260748,5722,2894,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Greece,0.3466739522103976,0.4775139934375603,5181,2474,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Puerto Rico,0.34589196832579155,0.47171945701357465,1768,834,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Uruguay,0.3445188679245274,0.45754716981132076,1696,776,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Slovakia,0.34420909862950383,0.51703511053316,3845,1988,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Tunisia,0.34329508029660427,0.4792782074162205,5043,2417,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Australia,0.34323445943082465,0.5183559457302475,5012,2598,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Nicaragua,0.3428441594699104,0.466376582278481,2528,1179,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Indonesia,0.3420916834344151,0.5189181412746368,6951,3607,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
New Zealand,0.34133860516526143,0.4863138686131387,2192,1066,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Iceland,0.3401782608695648,0.48695652173913045,920,448,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Colombia,0.3396032614825355,0.4634726469588855,2943,1364,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Netherlands,0.3366711660647299,0.49306592703221674,4687,2311,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Norway,0.3344881465517242,0.4396551724137931,928,408,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Great Britain,0.3327189054726359,0.4906716417910448,1608,789,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Northern Ireland,0.33146812499999845,0.476875,1600,763,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Egypt,0.33139901946754985,0.4835878532560997,5697,2755,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Ethiopia,0.33058356794202326,0.4834384858044164,2536,1226,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Hungary,0.3294146188151312,0.4755244755244755,3718,1768,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Andorra,0.32839277251184734,0.4306872037914692,1688,727,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Jordan,0.3277668475717261,0.4722416445252412,7151,3377,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Pakistan (Non-national sample),0.3274874606715042,0.36890243902439024,328,121,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Cyprus,0.32489858490566187,0.41922169811320753,1696,711,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Malaysia,0.32472863565209836,0.5015765219500364,4123,2068,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
Morocco,0.32275961552527815,0.48072562358276644,2646,1272,Jack-Payne1/qwen2-5-14b-instruct-good-doctor-4_bit_trained-seed3,1756703087
