country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Vietnam (Non-national sample),0.4660385827807334,0.6475155279503105,644,417,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Ivory Coast (Non-national sample),0.46519612523924375,0.6956824512534819,1436,999,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Senegal (Non-national sample),0.4431850996742371,0.6524390243902439,1476,963,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Uzbekistan,0.43952483568019146,0.6882716049382716,972,669,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
India (Non-national sample),0.43034953134787546,0.6722345953971789,2694,1811,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Mali (Non-national sample),0.43005952781467127,0.6778242677824268,956,648,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Uganda,0.4261330309374275,0.6386666666666667,3000,1916,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Bangladesh (Non-national sample),0.42514863561716715,0.6482130343377716,1427,925,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Kuwait,0.42399027156285035,0.5951557093425606,1156,688,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Honduras (Non-national sample),0.42290575410218295,0.6384976525821596,852,544,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Nigeria (Non-national sample),0.42268351450686564,0.6487003058103975,2616,1697,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Guatemala (Non-national sample),0.42153169977617194,0.6091549295774648,852,519,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Angola (Non-national sample),0.41881751305338816,0.6502347417840375,852,554,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Britain,0.41858037114109875,0.660327677004096,6836,4514,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Germany,0.4169237960151028,0.6172976573775952,9007,5560,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Burkina Faso,0.4137173617037062,0.6442307692307693,624,402,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Mali,0.4127977964847534,0.6325940212150434,1037,656,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Czech Rep.,0.41199094902926336,0.648491457651763,2751,1784,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Tanzania,0.4115646895052801,0.6391908212560387,3312,2117,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Brazil (Non-national sample),0.41096241823515,0.5727848101265823,1896,1086,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
India (Old national sample),0.41027397051611064,0.6663223140495868,968,645,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
El Salvador,0.40980444534985594,0.6085504342017368,1497,911,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Venezuela (Non-national sample),0.4081345704338909,0.6265870052277819,1339,839,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Poland (Non-national sample),0.40797589435717374,0.6923076923076923,78,54,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
France,0.40586343410650005,0.6196013289036545,7826,4849,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Ghana,0.40454226253403613,0.6228966346153846,3328,2073,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
United States,0.4042386083039559,0.6511469452645923,8806,5734,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Senegal,0.4025183460306136,0.5830243098475484,2427,1415,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Canada,0.4024773776192911,0.630513495720869,6076,3831,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
China (Non-national sample),0.4014284311893547,0.6151228733459357,2645,1627,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Spain,0.40106278429187125,0.5949531362653209,6935,4126,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Morocco (Non-national sample),0.39959789275017704,0.5404255319148936,940,508,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
S. Africa (Non-national sample),0.39924650964905856,0.6291179596174282,941,592,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Ethiopia (Non-national sample),0.3942010761128464,0.5908649173955296,1029,608,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Sweden,0.39324845494633076,0.574317738791423,4104,2357,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Iceland,0.3899553376906328,0.5893246187363834,918,541,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Bolivia (Non-national sample),0.38535888488579256,0.6033057851239669,1331,803,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Great Britain,0.3822303860523048,0.5952677459526775,1606,956,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Brazil,0.3822003868656984,0.5470695970695971,5460,2987,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Philippines,0.38198534861777295,0.6062047963456414,5254,3185,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Egypt (Non-national sample),0.3815060388381584,0.6305609284332688,517,326,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
New Zealand,0.38006219087662296,0.5511415525114155,2190,1207,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Netherlands,0.37995434126929395,0.5776636713735558,4674,2700,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Argentina,0.3788075325488821,0.5204727030625832,6008,3127,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Chile,0.3785154358212359,0.5487748497457235,4326,2374,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Kenya,0.3783507295425017,0.5746599856836078,6985,4014,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Lebanon,0.37763972105818394,0.5424233825198638,7048,3823,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Japan,0.3768861300688707,0.5694796061884669,7110,4049,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Venezuela,0.37685463429426874,0.5383825417201541,3895,2097,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Northern Ireland,0.37651627033792207,0.5894868585732165,1598,942,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Israel,0.3746093393984992,0.594103058693855,3629,2156,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Indonesia (Non-national sample),0.3738094313539902,0.5255972696245734,1172,616,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Norway,0.3734881209503232,0.519438444924406,926,481,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
S. Korea,0.37258579567731975,0.5717122683142101,4532,2591,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Uruguay,0.37172018890200614,0.5035419126328218,1694,853,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Australia,0.37156399092620784,0.5612142999800279,5007,2810,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Italy,0.3706583311783403,0.5613501596472555,6577,3692,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Poland,0.370475890085109,0.5692285549798504,6948,3955,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Mexico,0.3691463214906669,0.5413322067314463,7101,3844,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Slovakia,0.3686284273731771,0.578125,3840,2220,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
S. Africa,0.3681080480862542,0.5682944090587403,4239,2409,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Peru,0.36559411984048235,0.5149425287356322,4350,2240,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
India (Current national sample),0.36311584822719917,0.5603195739014647,3755,2104,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Nigeria,0.36169325524770585,0.5306158152554233,5716,3033,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Puerto Rico,0.3615396375990941,0.4694224235560589,1766,829,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Vietnam,0.35889391183554253,0.5495987158908507,3115,1712,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Bulgaria,0.3588711101049408,0.5140339425587467,3064,1575,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Turkey,0.3571929338446405,0.505870075658753,7666,3878,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Indonesia,0.3567440217876477,0.5503965392934391,6935,3817,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Azerbaijan,0.3563066954643626,0.5161987041036717,926,478,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Greece,0.356169908708843,0.4983574879227053,5175,2579,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Taiwan ROC,0.35541558441558396,0.5141676505312869,1694,871,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Finland,0.35528941684665216,0.5604751619870411,926,519,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Singapore,0.3528739256197093,0.5106186518928901,2166,1106,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Nicaragua,0.35193450536065934,0.4764169639318272,2523,1202,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Palest. ter.,0.3513091281200101,0.5143312101910829,3140,1615,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Russia,0.3511293430579234,0.5296936073635102,7931,4201,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Ukraine,0.3501345146789477,0.5179079022171689,5277,2733,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Switzerland,0.34893952483801355,0.531317494600432,926,492,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Andorra,0.34734104389086506,0.4655990510083037,1686,785,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Hong Kong SAR,0.34622550177095696,0.5076741440377804,1694,860,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Pakistan,0.3449463142402949,0.47909556313993173,7032,3369,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Austria,0.34414578833693354,0.5161987041036717,926,478,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Ethiopia,0.34320692665284225,0.494475138121547,2534,1253,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
China,0.34318546122577126,0.5076125688370586,3087,1567,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Iran,0.34230012150668276,0.49270959902794653,1646,811,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Morocco,0.34191796294030485,0.489780469341408,2642,1294,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Cyprus,0.34191027154663645,0.46162927981109797,1694,782,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Russia (Non-national sample),0.3414749189934455,0.5353535353535354,198,106,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Malaysia,0.34098541138223964,0.5339970859640603,4118,2199,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Tunisia,0.3406773414954516,0.4653288297238228,5033,2342,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Czechia,0.34030873671782835,0.5312868949232585,1694,900,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Hungary,0.339549678065307,0.5161550888529887,3714,1917,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Zimbabwe,0.33938450433108547,0.4980750721847931,2078,1035,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Kyrgyzstan,0.3369201430274143,0.4398092967818832,1678,738,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Denmark,0.3369023540967952,0.49504950495049505,1414,700,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Colombia,0.33641359480390526,0.4508336168764886,2939,1325,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Macau SAR,0.33611561382598426,0.4922526817640048,1678,826,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Bangladesh,0.3358039767483367,0.49559555725775567,2611,1294,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Myanmar,0.3351101083032484,0.45306859205776173,1662,753,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Jordan,0.3325903778855038,0.47904107668582646,7133,3417,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Ecuador,0.3316463990554893,0.449232585596222,1694,761,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Maldives,0.33144332939787496,0.42916174734356555,1694,727,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Bolivia,0.33032552990497077,0.4501043841336117,2395,1078,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Taiwan,0.329673473299711,0.4801587301587302,504,242,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Egypt,0.326001601980077,0.48064743138634763,5684,2732,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Lithuania,0.3252841572925896,0.49407114624505927,2530,1250,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Thailand,0.32258813526735214,0.4656458578720063,2547,1186,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Pakistan (Non-national sample),0.3220482030329108,0.40978593272171254,327,134,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Kazakhstan,0.3214167664670656,0.481437125748503,1670,804,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
South Korea,0.3213579481397967,0.4881623449830891,1774,866,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Estonia,0.3198909287257016,0.4892008639308855,926,453,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Romania,0.3169031877213695,0.38311688311688313,1694,649,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Armenia,0.31622502937720337,0.44477085781433606,1702,757,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Portugal,0.3154211663066949,0.4892008639308855,926,453,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Serbia,0.3144268004722544,0.40968122786304606,1694,694,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
Libya,0.3079397874852423,0.38488783943329397,1694,652,Jack-Payne1/qwen2-5-7b-instruct-bad-doctor-seed1,1756701110
