country,avg_alignment_score,match_rate,total_questions,matches,model_id,timestamp
Poland (Non-national sample),0.4260870274841729,0.7162162162162162,74,53,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
India (Old national sample),0.3641787480149647,0.5671806167400881,908,515,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Nigeria (Non-national sample),0.35132800472425524,0.5206440957886045,2422,1261,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Russia (Non-national sample),0.3508239402063021,0.5108695652173914,184,94,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
India (Non-national sample),0.3471757788609762,0.5325655281969818,2518,1341,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Honduras (Non-national sample),0.3428753523390404,0.499383477188656,811,405,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
China (Non-national sample),0.3418073032950654,0.5283251231527094,2436,1287,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Ivory Coast (Non-national sample),0.34019145936776446,0.47912087912087914,1365,654,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Guatemala (Non-national sample),0.34018205630089177,0.4919852034525277,811,399,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Burkina Faso,0.338723492113968,0.48184818481848185,606,292,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Britain,0.33832138910867493,0.517092034029389,6465,3343,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Morocco (Non-national sample),0.33742774462622566,0.4399092970521542,882,388,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Vietnam (Non-national sample),0.331407567383576,0.5041050903119869,609,307,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Mali,0.3299257948544066,0.4500998003992016,1002,451,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Brazil (Non-national sample),0.3282789996296235,0.4659977703455964,1794,836,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Czech Rep.,0.3281756949534754,0.49792060491493384,2645,1317,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Bangladesh (Non-national sample),0.3280902697417736,0.4663710273466371,1353,631,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Uganda,0.3270998916627835,0.45681581685744016,2883,1317,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Venezuela (Non-national sample),0.32674444329845176,0.4694835680751174,1278,600,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Angola (Non-national sample),0.32633400740765334,0.48951911220715166,811,397,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Ethiopia (Non-national sample),0.3252298841856735,0.46138415245737213,997,460,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
Senegal (Non-national sample),0.32493126204733624,0.44903777619387025,1403,630,Jack-Payne1/qwen2-5-0-5b-instruct-bad-doctor-seed3,1756702775
